angle,w.speed,Freq
165.9,17.02,0.000114155
167.1,16.63,0.000114155
167.3,15.34,0.000114155
180.4,14.02,0.000114155
193.6,11.73,0.000114155
186.3,10.59,0.000114155
162.6,11.87,0.000114155
163.3,12.71,0.000114155
163.5,13.69,0.000114155
161.8,13.41,0.000114155
161.6,14.55,0.000114155
165.6,15.36,0.000114155
169.8,15.38,0.000114155
168.4,15.01,0.000114155
164.5,14.88,0.000114155
158.5,16.07,0.000114155
154.7,17.01,0.000114155
156.9,16.82,0.000114155
157.6,16.7,0.000114155
155.5,17.46,0.000114155
151.8,17.82,0.000114155
149.7,18.81,0.000114155
147.4,19.59,0.000114155
142.9,20.82,0.000114155
139.4,22.3,0.000114155
136.8,23.69,0.000114155
138.4,25.01,0.000114155
140.5,25.39,0.000114155
141.6,25.36,0.000114155
141.4,25.7,0.000114155
140.5,25.41,0.000114155
141,25.2,0.000114155
139.9,23.88,0.000114155
135,23.59,0.000114155
134.8,23.69,0.000114155
138.1,23.69,0.000114155
148.7,20.98,0.000114155
161.5,19.2,0.000114155
164.1,19.77,0.000114155
179.3,17.58,0.000114155
184.8,16.02,0.000114155
182.2,14.86,0.000114155
185.5,13.2,0.000114155
184.7,12.23,0.000114155
183.6,11.61,0.000114155
177.9,11.54,0.000114155
180.2,11.06,0.000114155
174.9,11.5,0.000114155
176.1,12.33,0.000114155
171.8,12.56,0.000114155
167.6,13.78,0.000114155
162.3,15.21,0.000114155
158.3,16.64,0.000114155
156.3,18.18,0.000114155
154.6,19.38,0.000114155
149,20.94,0.000114155
147.6,21.23,0.000114155
152.3,23.13,0.000114155
155.5,23.55,0.000114155
153.7,23.64,0.000114155
163.1,20.25,0.000114155
165.1,17.24,0.000114155
165.3,16.46,0.000114155
155.7,15.79,0.000114155
162,15.21,0.000114155
189.1,16.91,0.000114155
164.7,15.53,0.000114155
176.8,18.05,0.000114155
173.6,17.99,0.000114155
172.3,17.95,0.000114155
170.6,18.72,0.000114155
170.9,18.75,0.000114155
172.3,19.07,0.000114155
174.5,18.77,0.000114155
177.1,18.73,0.000114155
170.5,17.27,0.000114155
171.4,18.01,0.000114155
175.5,17.88,0.000114155
195,15.34,0.000114155
190.3,14.18,0.000114155
218.1,11.97,0.000114155
212.6,12.34,0.000114155
207.2,13.49,0.000114155
211.2,13.28,0.000114155
208.8,12.84,0.000114155
206.6,11.94,0.000114155
201,12.25,0.000114155
195.7,11.31,0.000114155
186,10.32,0.000114155
177.4,11.7,0.000114155
173.5,12.71,0.000114155
167.9,12.46,0.000114155
155.9,13.48,0.000114155
145.9,14.54,0.000114155
122.8,14.87,0.000114155
123.6,16.04,0.000114155
143.2,19.03,0.000114155
147.5,18.76,0.000114155
145.1,18.93,0.000114155
149.5,19.36,0.000114155
152.6,19,0.000114155
148.5,19.12,0.000114155
144.6,19.12,0.000114155
144,19.76,0.000114155
144.1,20.97,0.000114155
147.7,20.19,0.000114155
148.6,20,0.000114155
150.4,18.73,0.000114155
165.7,13.85,0.000114155
195.3,12.1,0.000114155
205,11.44,0.000114155
208.3,10.83,0.000114155
207,10.51,0.000114155
198.8,10.82,0.000114155
178.8,10.42,0.000114155
172.8,12.86,0.000114155
174.6,14.69,0.000114155
171.7,15.71,0.000114155
166.1,17.12,0.000114155
162.3,18.43,0.000114155
155.6,20,0.000114155
151,21.71,0.000114155
142.9,23.63,0.000114155
146.8,23.92,0.000114155
152.4,26.59,0.000114155
153.3,26.8,0.000114155
152.5,27.11,0.000114155
148.4,25.45,0.000114155
195.6,16.43,0.000114155
190,17.05,0.000114155
194.5,14.81,0.000114155
189.9,13.49,0.000114155
191.5,13.96,0.000114155
191.7,13.93,0.000114155
183.9,14.52,0.000114155
174.5,14.65,0.000114155
168.3,15.87,0.000114155
166.1,17.02,0.000114155
165.1,17.29,0.000114155
166.1,17.98,0.000114155
170.4,18.66,0.000114155
169.9,18.74,0.000114155
173.3,18.2,0.000114155
175.5,17.43,0.000114155
177.9,16.76,0.000114155
183.4,16.81,0.000114155
180.2,16.58,0.000114155
179.4,17.15,0.000114155
179,17.3,0.000114155
180.9,17.88,0.000114155
190.1,18.44,0.000114155
194,17.74,0.000114155
194,17.13,0.000114155
191.9,16.8,0.000114155
192.1,16.92,0.000114155
194.3,16.97,0.000114155
194.3,16.76,0.000114155
195.3,16.66,0.000114155
196.7,16.29,0.000114155
191.9,15.46,0.000114155
194,15.65,0.000114155
197.8,15.12,0.000114155
198.3,14.92,0.000114155
199,14.89,0.000114155
201.1,14.78,0.000114155
198.8,14.08,0.000114155
198.6,13.75,0.000114155
196.5,13.68,0.000114155
195.8,12.7,0.000114155
195,11.62,0.000114155
200.2,10.82,0.000114155
207.9,10.39,0.000114155
211.4,10.06,0.000114155
213.3,10.22,0.000114155
217,10.49,0.000114155
220.6,10.41,0.000114155
218.6,10.47,0.000114155
222.2,10.59,0.000114155
223.6,10.28,0.000114155
223.7,10.07,0.000114155
227.2,10.27,0.000114155
229.2,10.82,0.000114155
229.4,11.04,0.000114155
240.8,10.31,0.000114155
247.2,10.56,0.000114155
251.6,11.34,0.000114155
