angle    w.speed (m/s)  frequency
148.6000      9.3700      0.0007
148.6000     10.5800      0.0015
148.7000      6.8800      0.0009
148.7000      9.7800      0.0011
148.7000     15.6800      0.0003
148.7000     11.8000      0.0007
148.8000     10.6100      0.0013
148.8000     15.2200      0.0009
148.8000     11.7800      0.0003
148.9000     18.5300      0.0003
148.9000     10.8100      0.0010
148.9000     14.6400      0.0010
148.9000     17.7600      0.0003
149.0000     21.1200      0.0002
149.0000     14.0600      0.0014
149.0000     19.0200      0.0006
149.0000     15.8800      0.0006
149.1000     11.0800      0.0007
149.1000     18.7200      0.0003
149.1000      9.8400      0.0009
149.2000     17.4600      0.0002
149.2000      8.1300      0.0014
149.2000     17.9700      0.0005
149.3000     14.6400      0.0010
149.3000     21.3900      0.0003
149.3000     18.9300      0.0002
149.4000     15.6400      0.0011
149.4000     15.9200      0.0003
149.4000      8.5900      0.0008
149.4000     14.3500      0.0005
149.4000     15.6100      0.0007
149.4000     18.9600      0.0005
149.5000      5.0900      0.0011
149.5000      8.2500      0.0008
149.5000     12.5200      0.0008
149.5000     15.7700      0.0007
149.5000     13.8700      0.0010
149.6000      9.2100      0.0010
149.6000     12.4000      0.0008
149.6000     23.1400      0.0001
149.7000     14.7200      0.0005
149.7000     12.4200      0.0007
149.7000      4.6400      0.0007
149.7000     21.5100      0.0002
149.7000     16.8900      0.0002
149.7000     18.3300      0.0002
149.7000     11.1100      0.0006
149.8000     19.0000      0.0001
149.8000     19.3100      0.0002
149.9000      8.8200      0.0008
149.9000     20.9100      0.0002
149.9000     18.7300      0.0003
150.0000      9.6300      0.0015
150.0000     14.8300      0.0006
150.1000      7.4800      0.0002
150.1000     18.9500      0.0003
150.1000      2.3000      0.0001
150.1000     21.6000      0.0002
150.1000     18.5600      0.0005
150.1000      1.1200      0.0003
150.1000      7.7800      0.0008
150.2000     19.9600      0.0001
150.2000      8.0000      0.0006
150.2000     14.2100      0.0007
150.2000     11.8000      0.0007
150.2000     15.7400      0.0006
150.3000     19.0200      0.0006
150.3000     15.2800      0.0010
150.4000     17.0100      0.0003
150.4000     10.3300      0.0014
150.5000     10.0900      0.0011
150.5000     14.5900      0.0006
150.5000     19.7000      0.0002
150.5000     20.5500      0.0002
150.6000     10.1400      0.0008
150.6000     16.0400      0.0009
150.6000      9.6300      0.0015
150.6000      5.5300      0.0007
150.6000     10.1600      0.0010
150.6000     10.2800      0.0009
150.7000     18.4000      0.0001
150.7000     12.2700      0.0003
150.7000     16.4300      0.0008
150.7000     15.4700      0.0005
150.7000     10.4800      0.0009
150.8000     10.2400      0.0009
150.8000      7.4500      0.0010
150.8000     17.6700      0.0001
150.8000     21.3000      0.0002
150.8000     17.9700      0.0005
150.8000     15.4800      0.0007
150.9000     22.0800      0.0003
150.9000     13.2500      0.0005
151.0000     17.0300      0.0002
151.0000     16.7800      0.0002
151.0000     21.2500      0.0003
151.0000     18.0600      0.0002
151.0000      9.0600      0.0007
151.0000     18.3900      0.0002
151.0000     21.2500      0.0003
151.0000     11.8900      0.0009
151.1000     17.6200      0.0002
151.1000     16.6600      0.0006
151.2000     14.4400      0.0005
151.2000     10.7200      0.0008
151.2000     17.4700      0.0006
151.2000     21.4000      0.0001
151.2000     10.0500      0.0008
151.2000      2.0100      0.0001
151.3000     10.6200      0.0006
151.3000     14.8500      0.0005
151.3000     20.0700      0.0001
151.4000     14.6700      0.0005
151.4000      6.5100      0.0008
151.4000      8.0100      0.0008
151.4000     11.6300      0.0007
151.4000     20.7500      0.0007
151.4000     14.0800      0.0003
151.5000     20.7900      0.0001
151.5000      4.7800      0.0005
151.5000     21.6800      0.0002
151.6000     13.4700      0.0007
151.6000     10.3800      0.0007
151.6000      7.9000      0.0007
151.7000     21.1000      0.0002
151.7000     15.0100      0.0009
151.7000     14.7600      0.0005
151.7000     13.4600      0.0002
151.7000     15.3800      0.0007
151.7000     14.2600      0.0010
151.8000     20.1700      0.0001
151.8000     14.0800      0.0003
151.8000     12.8200      0.0013
151.8000     19.0700      0.0002
151.8000      7.4700      0.0015
151.8000     10.6500      0.0009
151.9000     13.4100      0.0003
151.9000      6.1500      0.0008
151.9000     14.1100      0.0006
151.9000      7.8600      0.0006
151.9000     21.9700      0.0001
151.9000     10.2500      0.0010
151.9000     15.3600      0.0010
152.0000     15.7100      0.0005
152.1000     16.3200      0.0005
152.1000     14.3300      0.0008
152.2000     20.6800      0.0002
152.2000     21.2200      0.0001
152.2000     20.8700      0.0002
152.2000      1.0200      0.0001
152.2000     14.7200      0.0005
152.2000      8.8300      0.0003
152.2000     17.0500      0.0007
152.2000      8.2800      0.0009
152.2000     17.6400      0.0006
152.3000     10.8500      0.0009
152.3000      9.2000      0.0006
152.3000     22.7800      0.0001
152.3000      5.8700      0.0007
152.3000     20.9500      0.0001
152.3000     11.3900      0.0011
152.3000     10.6500      0.0009
152.3000     10.3800      0.0007
152.4000     10.2500      0.0010
152.4000     20.2100      0.0002
152.4000      8.0200      0.0007
152.4000      8.4500      0.0011
152.4000     10.9900      0.0010
152.4000     13.9800      0.0005
152.4000     13.4500      0.0006
152.5000     11.6900      0.0005
152.5000     15.1100      0.0008
152.5000      8.8400      0.0005
152.5000     12.2300      0.0010
152.5000     18.9800      0.0003
152.5000      5.5600      0.0002
152.7000     13.6200      0.0005
152.7000     13.3600      0.0003
152.7000     17.4300      0.0006
152.7000      1.1900      0.0003
152.8000     16.9600      0.0003
152.8000     13.3700      0.0005
152.8000     11.5600      0.0015
152.8000     15.6000      0.0010
152.9000     15.8200      0.0003
152.9000      8.4800      0.0014
152.9000      5.7400      0.0007
152.9000     17.7200      0.0001
152.9000     14.7700      0.0002
152.9000     12.4100      0.0006
152.9000     22.0800      0.0003
153.0000     14.3400      0.0011
153.0000     13.5400      0.0011
153.0000      7.8000      0.0010
153.0000     15.5700      0.0007
153.0000     11.3000      0.0008
153.1000     13.5500      0.0002
153.1000     15.7400      0.0006
153.1000     17.2400      0.0005
153.1000      8.2000      0.0011
153.1000     14.4500      0.0003
153.1000     10.9000      0.0007
153.2000      6.8400      0.0006
153.2000     11.6500      0.0009
153.2000     15.5800      0.0009
153.2000     13.4500      0.0006
153.2000     17.2700      0.0002
153.2000     20.6200      0.0006
153.2000     20.6700      0.0001
153.2000     13.4400      0.0005
153.2000     17.4100      0.0002
153.3000     12.6300      0.0010
153.3000     20.5600      0.0001
153.3000     17.3500      0.0006
153.4000     10.4300      0.0010
153.4000     12.9700      0.0010
153.5000      9.8500      0.0013
153.6000     15.0500      0.0005
153.6000     16.9300      0.0003
153.6000     21.3700      0.0002
153.6000      9.5000      0.0013
153.6000     11.4500      0.0008
153.7000     10.4300      0.0010
153.8000     12.9900      0.0008
153.8000     12.4900      0.0005
153.8000     11.2300      0.0010
153.8000     14.8200      0.0011
153.9000     13.0400      0.0006
153.9000     11.1500      0.0006
153.9000     13.8500      0.0008
153.9000     11.2400      0.0006
153.9000      4.4200      0.0005
153.9000     13.5400      0.0011
153.9000     17.5400      0.0005
153.9000      7.7400      0.0011
154.0000     16.7600      0.0005
154.0000      3.7900      0.0003
154.0000     21.9000      0.0002
154.1000      4.4400      0.0001
154.1000     18.5100      0.0002
154.1000     11.7100      0.0007
154.2000     20.3500      0.0003
154.2000     11.3100      0.0003
154.2000     10.8800      0.0011
154.2000     13.2600      0.0011
154.2000     10.6000      0.0014
154.3000      6.3900      0.0007
154.3000     15.3000      0.0007
154.4000      8.4600      0.0009
154.5000      1.0700      0.0001
154.5000     13.1500      0.0006
154.5000      7.4500      0.0010
154.5000     17.0200      0.0005
154.6000     12.9700      0.0010
154.6000     15.2100      0.0005
154.6000      8.0400      0.0013
154.7000      8.1700      0.0014
154.7000     14.5300      0.0005
154.7000     13.0500      0.0013
154.7000     17.0400      0.0003
154.7000     13.6500      0.0005
154.8000     22.8800      0.0002
154.9000     18.1500      0.0005
154.9000      4.1200      0.0003
155.0000     15.0200      0.0009
155.0000     14.8200      0.0011
155.0000     12.9400      0.0007
155.0000     16.9400      0.0006
155.0000     10.8600      0.0006
155.0000     16.3900      0.0006
155.0000      9.6700      0.0009
155.0000     20.3900      0.0008
155.1000     17.0300      0.0002
155.1000     14.3900      0.0006
155.1000     14.5700      0.0007
155.1000     14.4200      0.0006
155.1000      8.4500      0.0011
155.1000     11.3800      0.0005
155.2000     14.7400      0.0002
155.2000     18.3400      0.0001
155.2000      4.7200      0.0005
155.2000     13.9700      0.0007
155.2000     11.1800      0.0008
155.2000     21.4400      0.0005
155.3000     19.4000      0.0001
155.3000      7.9900      0.0010
155.4000     16.4000      0.0007
155.4000     20.9800      0.0002
155.4000     13.7400      0.0008
155.4000     15.7500      0.0007
155.4000     13.2500      0.0005
155.5000     12.7700      0.0009
155.5000     15.7900      0.0002
155.5000     10.8800      0.0011
155.6000      9.8400      0.0009
155.6000     14.7500      0.0006
155.6000     10.0800      0.0007
155.7000     14.6100      0.0006
155.7000     14.5100      0.0009
155.7000      5.6600      0.0008
155.7000      1.1500      0.0005
155.8000     10.4700      0.0013
155.9000     13.8500      0.0008
155.9000     11.7200      0.0005
155.9000     15.3700      0.0008
155.9000      7.1400      0.0014
156.0000     23.1100      0.0002
156.0000     11.6300      0.0007
156.0000     21.4400      0.0005
156.0000     10.9100      0.0009
156.1000     15.0000      0.0006
156.1000     13.1000      0.0009
156.1000     11.4300      0.0009
156.1000     15.6900      0.0007
156.1000     17.2900      0.0003
156.1000     15.4500      0.0003
156.3000      5.5300      0.0007
156.3000     19.5700      0.0002
156.3000     11.7400      0.0010
156.3000     14.2600      0.0010
156.3000     22.4900      0.0001
156.4000     12.3500      0.0006
156.4000     12.9400      0.0007
156.4000     12.5700      0.0008
156.4000     11.8900      0.0009
156.5000     18.5200      0.0003
156.5000      7.1000      0.0005
156.6000     16.1000      0.0005
156.6000     16.2700      0.0010
156.7000     14.3300      0.0008
156.7000     13.9500      0.0005
156.7000      3.9600      0.0002
156.7000      7.3800      0.0007
156.7000     12.3200      0.0007
156.8000     12.7600      0.0003
156.8000      5.7300      0.0003
156.8000      1.9800      0.0005
156.8000      7.7600      0.0009
156.8000     16.5400      0.0006
156.9000      5.8800      0.0008
156.9000     12.9100      0.0010
156.9000     15.6200      0.0006
156.9000     16.2900      0.0008
156.9000      9.3400      0.0013
157.0000     13.7300      0.0005
157.0000     12.9900      0.0008
157.0000      7.0800      0.0011
157.1000      6.7800      0.0003
157.1000      6.9700      0.0010
157.1000      7.2300      0.0010
157.1000      8.5400      0.0011
157.1000     11.4100      0.0005
157.2000     16.9100      0.0005
157.2000     19.1900      0.0005
157.2000     13.1600      0.0008
157.2000     10.8500      0.0009
157.2000     11.8600      0.0006
157.3000      9.1500      0.0009
157.3000     14.6900      0.0007
157.3000      7.5400      0.0006
157.3000     18.9300      0.0002
157.4000     10.4100      0.0011
157.4000     18.3700      0.0003
157.4000     11.2700      0.0011
157.4000     20.7200      0.0005
157.4000     15.3000      0.0007
157.4000      9.2700      0.0005
157.5000      7.1300      0.0007
157.5000     14.3400      0.0011
157.5000     11.6600      0.0008
157.5000      6.0100      0.0002
157.6000     12.3200      0.0007
157.6000     15.7800      0.0002
157.7000     21.3200      0.0001
157.7000     15.2900      0.0006
157.7000     18.3700      0.0003
157.7000      7.9300      0.0008
157.8000     16.3600      0.0003
157.8000     15.1100      0.0008
157.8000     11.9000      0.0009
157.8000     16.1500      0.0006
157.8000      5.7700      0.0006
157.9000     17.6000      0.0001
157.9000     18.5200      0.0003
157.9000     11.1600      0.0003
158.0000     10.6900      0.0010
158.0000     11.0500      0.0009
158.0000     10.9900      0.0010
158.1000     18.5500      0.0005
158.2000      8.8600      0.0013
158.2000     23.1600      0.0001
158.2000     11.0900      0.0011
158.2000     20.3100      0.0003
158.3000     12.5200      0.0008
158.3000     15.2800      0.0010
158.4000      4.6600      0.0003
158.4000     22.0800      0.0003
158.4000     13.9800      0.0005
158.4000     10.6300      0.0009
158.4000     13.2600      0.0011
158.5000     16.4700      0.0005
158.5000      6.9200      0.0006
158.5000      7.6800      0.0013
158.5000     10.5400      0.0005
158.5000      7.2800      0.0009
158.5000      9.0000      0.0008
158.6000     13.4300      0.0006
158.6000      7.3400      0.0013
158.6000      9.4400      0.0009
158.6000     10.6900      0.0010
158.7000     11.6900      0.0005
158.7000      6.9100      0.0005
158.7000     17.0800      0.0006
158.8000     16.7100      0.0005
158.8000     18.9800      0.0003
158.8000     12.3600      0.0008
158.8000     19.8500      0.0003
158.9000     16.5000      0.0003
158.9000      8.8000      0.0003
158.9000     14.0400      0.0010
158.9000     11.6300      0.0007
158.9000     10.8200      0.0002
158.9000     15.4400      0.0008
158.9000      9.1000      0.0011
159.0000     13.8700      0.0010
159.0000     10.6800      0.0007
159.1000     15.6000      0.0010
159.1000     17.8600      0.0002
159.1000     14.2400      0.0003
159.1000     13.9300      0.0005
159.1000     10.4600      0.0005
159.1000     16.8000      0.0003
159.2000     14.4900      0.0008
159.2000     15.4800      0.0007
159.3000     16.2700      0.0010
159.3000     10.6300      0.0009
159.3000     17.5200      0.0003
159.4000     22.8200      0.0003
159.4000     11.0200      0.0005
159.4000      6.4300      0.0011
159.4000     11.5500      0.0008
159.5000     13.0200      0.0006
159.6000     10.1500      0.0003
159.6000     17.3600      0.0002
159.6000     19.5000      0.0001
159.6000     14.4600      0.0005
159.6000     12.8600      0.0010
159.7000     12.6100      0.0008
159.7000     13.9400      0.0006
159.8000     14.9100      0.0002
159.8000     12.4000      0.0008
159.8000     13.1300      0.0008
159.8000     15.7400      0.0006
159.8000     10.5000      0.0009
159.9000     15.5600      0.0007
159.9000     13.3500      0.0009
159.9000     17.1100      0.0005
159.9000     10.3300      0.0014
159.9000     10.9000      0.0007
159.9000     14.7900      0.0005
159.9000     15.2200      0.0009
160.0000     10.3400      0.0007
160.0000      9.9400      0.0009
160.0000     12.7400      0.0014
160.0000     17.5400      0.0005
160.1000      4.7000      0.0002
160.1000     14.3700      0.0014
160.1000     13.1800      0.0008
160.1000     12.5800      0.0007
160.1000     17.8100      0.0003
160.1000     12.6600      0.0002
160.2000     15.9300      0.0005
160.2000     15.2400      0.0006
160.2000      8.5900      0.0008
160.2000      6.7400      0.0010
160.3000     12.6100      0.0008
160.3000     20.9800      0.0002
160.3000     19.1900      0.0005
160.3000     15.1000      0.0003
160.3000     21.5200      0.0003
160.3000     14.0700      0.0006
160.3000     13.7600      0.0009
160.3000     12.4000      0.0008
160.3000     12.6900      0.0003
160.4000     12.6700      0.0009
160.4000     14.4200      0.0006
160.5000     10.5800      0.0015
160.5000     11.4800      0.0010
160.5000     18.9800      0.0003
160.5000     14.0600      0.0014
160.5000      8.4600      0.0009
160.6000      9.6700      0.0009
160.6000     16.1500      0.0006
160.6000     10.5100      0.0008
160.6000     14.1900      0.0007
160.6000     15.4400      0.0008
160.6000     17.8100      0.0003
160.7000     16.5600      0.0008
160.7000     13.8400      0.0008
160.8000     11.2700      0.0011
160.8000     23.6000      0.0001
160.8000     15.6200      0.0006
160.8000     10.8600      0.0006
160.9000     21.2700      0.0003
161.0000     12.9300      0.0006
161.1000     15.6700      0.0002
161.1000     16.9200      0.0005
161.1000     19.0200      0.0006
161.1000      2.1300      0.0003
161.2000      9.6100      0.0008
161.2000      7.4900      0.0008
161.2000      6.6500      0.0007
161.3000     19.0600      0.0002
161.3000     13.8600      0.0006
161.3000     16.0800      0.0009
161.3000     11.0900      0.0011
161.4000     12.8700      0.0008
161.4000      8.8500      0.0005
161.5000      3.6500      0.0006
161.5000      7.5500      0.0006
161.6000     16.6700      0.0005
161.6000      9.5400      0.0003
161.6000      5.6600      0.0008
161.6000     12.0300      0.0009
161.6000     10.2200      0.0006
161.7000     13.1700      0.0008
161.7000     22.3200      0.0001
161.7000     18.3500      0.0005
161.7000     12.2300      0.0010
161.8000     11.4900      0.0003
161.8000     14.9400      0.0008
161.8000     16.2200      0.0007
161.8000     10.0200      0.0011
161.8000      5.6200      0.0007
161.9000     13.5200      0.0005
161.9000     12.8000      0.0006
161.9000      9.9400      0.0009
162.0000     17.8200      0.0003
162.0000     13.7500      0.0003
162.0000     11.0700      0.0008
162.0000      5.3200      0.0003
162.0000      7.9800      0.0006
162.0000      9.5000      0.0013
162.0000      8.8800      0.0011
162.0000     19.6900      0.0003
162.1000     15.2400      0.0006
162.1000     16.5700      0.0008
162.1000     23.5600      0.0002
162.2000     18.1800      0.0002
162.2000     10.4800      0.0009
162.3000      9.4000      0.0009
162.3000     13.3200      0.0008
162.3000     13.1000      0.0009
162.4000     10.3200      0.0008
162.4000     14.1600      0.0005
162.5000     15.0100      0.0009
162.5000     17.2500      0.0001
162.5000     16.5600      0.0008
162.5000     12.7800      0.0006
162.6000     13.4100      0.0003
162.6000     11.5200      0.0010
162.6000      3.9800      0.0005
162.7000     12.5100      0.0003
162.7000     13.6800      0.0009
162.7000     13.2300      0.0007
162.7000     17.7800      0.0002
162.8000     15.8800      0.0006
162.8000     17.4800      0.0006
162.8000     14.4300      0.0007
162.8000      3.2000      0.0005
162.8000     10.5000      0.0009
162.9000     10.5300      0.0009
162.9000     13.2800      0.0009
162.9000     15.8000      0.0002
162.9000     14.4600      0.0005
162.9000     11.0800      0.0007
163.0000      4.6000      0.0006
163.0000      6.0800      0.0008
163.1000     20.5000      0.0001
163.1000     17.6100      0.0007
163.1000     11.0200      0.0005
163.1000     13.5700      0.0007
163.2000     14.2700      0.0005
163.2000      8.6900      0.0002
163.3000     17.7100      0.0005
163.3000      9.3400      0.0013
163.3000     13.0500      0.0013
163.3000     11.1400      0.0007
163.3000     10.2400      0.0009
163.3000     14.2200      0.0005
163.3000      6.7500      0.0006
163.4000     11.5200      0.0010
163.4000     12.2600      0.0011
163.5000     13.9700      0.0007
163.5000     12.7800      0.0006
163.5000      7.1000      0.0005
163.6000     16.7300      0.0003
163.6000     11.0300      0.0005
163.7000      7.5000      0.0009
163.7000      8.8200      0.0008
163.7000     10.5900      0.0007
163.7000     11.9800      0.0005
163.8000     12.3700      0.0008
163.8000     10.5400      0.0005
163.9000     11.7000      0.0002
163.9000     12.9600      0.0008
163.9000     12.7100      0.0007
163.9000     10.8100      0.0010
163.9000     12.1800      0.0009
163.9000     12.2800      0.0009
163.9000     10.0900      0.0011
164.0000     15.9300      0.0005
164.0000     16.4100      0.0005
164.0000      8.8100      0.0008
164.0000      8.4800      0.0014
164.0000     15.8700      0.0006
164.1000     21.7600      0.0001
164.1000     13.0300      0.0007
164.1000     12.7000      0.0008
164.2000     13.9900      0.0002
164.2000     19.6600      0.0001
164.3000     14.6600      0.0006
164.3000      7.8500      0.0009
164.3000      6.6400      0.0009
164.3000      6.4500      0.0011
164.4000      8.6200      0.0007
164.4000      6.4000      0.0002
164.4000      8.6700      0.0015
164.4000     14.4700      0.0002
164.4000      3.2800      0.0002
164.5000     18.2100      0.0002
164.5000     16.8000      0.0003
164.5000      9.0800      0.0005
164.5000     11.1700      0.0008
164.6000     10.8400      0.0008
164.6000     15.6000      0.0010
164.6000     20.0200      0.0005
164.7000      7.1700      0.0015
164.7000      7.8400      0.0010
164.8000     17.9500      0.0001
164.8000      9.2300      0.0010
164.8000      7.3600      0.0006
164.8000      4.2100      0.0007
164.9000     10.3500      0.0009
164.9000     12.0900      0.0009
164.9000     13.2200      0.0006
164.9000     20.2200      0.0001
164.9000     15.1400      0.0005
165.0000      2.3600      0.0005
165.0000     14.5200      0.0003
165.1000      9.7400      0.0006
165.1000     17.9800      0.0006
165.1000     13.5400      0.0011
165.1000     14.4800      0.0009
165.2000     12.3300      0.0006
165.2000     11.8500      0.0014
165.2000     20.0300      0.0003
165.2000     19.4100      0.0003
165.2000      9.8900      0.0009
165.3000      8.1800      0.0010
165.3000     11.5200      0.0010
165.3000      8.4200      0.0007
165.4000     10.0700      0.0008
165.4000     13.1300      0.0008
165.4000      5.2600      0.0010
165.4000      4.0400      0.0007
165.4000      5.1600      0.0007
165.4000     10.4300      0.0010
165.6000      7.9900      0.0010
165.6000      6.2000      0.0007
165.6000      9.7200      0.0006
165.6000      8.4300      0.0003
165.6000     13.3100      0.0010
165.6000     10.7700      0.0007
165.7000     19.3900      0.0002
165.7000     12.6700      0.0009
165.7000     12.4500      0.0009
165.8000      7.9200      0.0013
165.8000      9.8100      0.0006
165.8000     11.7800      0.0003
165.8000     16.5800      0.0006
165.9000     11.4500      0.0008
165.9000      9.2400      0.0008
166.0000      7.8200      0.0005
166.1000     18.3300      0.0002
166.1000     10.7200      0.0008
166.2000     12.2300      0.0010
166.3000     14.3300      0.0008
166.3000     17.6400      0.0006
166.3000     12.6200      0.0006
166.3000     12.7300      0.0007
166.4000     10.3900      0.0008
166.4000     16.2000      0.0007
166.4000     17.4700      0.0006
166.4000     12.1400      0.0003
166.4000     13.3400      0.0003
166.4000      5.7900      0.0009
166.5000     10.5300      0.0009
166.5000     10.2600      0.0007
166.5000      3.2600      0.0005
166.5000      2.1000      0.0002
166.5000     14.4800      0.0009
166.6000     11.7100      0.0007
166.7000     11.6100      0.0010
166.7000     19.8500      0.0003
166.7000     11.4300      0.0009
166.8000      8.9400      0.0009
166.8000     14.5300      0.0005
166.8000      5.3600      0.0006
166.8000     10.4100      0.0011
166.9000     11.5600      0.0015
166.9000     11.5100      0.0003
166.9000     13.8100      0.0005
166.9000     11.7200      0.0005
166.9000     14.7000      0.0005
166.9000      7.3800      0.0007
167.0000     13.2400      0.0006
167.0000     13.8300      0.0005
167.0000      4.6100      0.0003
167.0000     16.2200      0.0007
167.0000     12.5800      0.0007
167.0000      4.4100      0.0005
167.1000     14.2500      0.0002
167.1000      6.8600      0.0001
167.1000     14.1800      0.0007
167.1000      9.8100      0.0006
167.1000     11.5300      0.0010
167.2000     12.9700      0.0010
167.2000     12.7000      0.0008
167.2000     15.6900      0.0007
167.2000     16.9700      0.0002
167.2000     11.7900      0.0003
167.2000      9.1700      0.0003
167.2000     10.0900      0.0011
167.2000     13.4200      0.0006
167.2000     21.8200      0.0001
167.2000     21.5500      0.0001
167.2000     12.9800      0.0003
167.3000     15.5400      0.0002
167.3000     16.8200      0.0003
167.3000      8.0800      0.0007
167.4000     18.4900      0.0003
167.4000     10.6100      0.0013
167.4000      4.2200      0.0007
167.4000     17.7400      0.0002
167.4000     13.4300      0.0006
167.4000     10.9800      0.0007
167.5000      8.9300      0.0007
167.5000     10.8800      0.0011
167.5000     18.1200      0.0002
167.6000     19.4600      0.0001
167.6000     17.3100      0.0002
167.7000     10.5100      0.0008
167.7000      8.8600      0.0013
167.7000     21.1900      0.0001
167.7000     14.1900      0.0007
167.7000      7.0600      0.0002
167.7000      7.8400      0.0010
167.8000      8.9700      0.0005
167.8000     11.8500      0.0014
167.8000     12.2000      0.0006
167.9000      7.3700      0.0005
167.9000     15.1400      0.0005
167.9000     12.3400      0.0010
167.9000      8.0300      0.0008
168.0000      9.1100      0.0003
168.0000      6.7300      0.0006
168.0000     13.1600      0.0008
168.0000     10.5800      0.0015
168.0000     10.2000      0.0010
168.1000      9.3100      0.0006
168.1000     13.5500      0.0002
168.1000      8.4000      0.0008
168.2000     10.7300      0.0007
168.2000      6.8100      0.0007
168.2000     13.2100      0.0005
168.2000     13.6900      0.0008
168.2000      7.4700      0.0015
168.2000     17.4400      0.0002
168.3000     22.2500      0.0001
168.3000     14.4200      0.0006
168.3000      9.0600      0.0007
168.3000     10.9300      0.0016
168.3000      7.1200      0.0009
168.3000     10.9800      0.0007
168.4000     19.5200      0.0003
168.4000      4.2200      0.0007
168.4000      4.6800      0.0006
168.4000     12.0400      0.0008
168.5000     19.4800      0.0003
168.5000     13.5700      0.0007
168.5000     14.4400      0.0005
168.5000     10.3400      0.0007
168.5000     13.7900      0.0008
168.5000     16.8300      0.0003
168.6000      7.3600      0.0006
168.6000     13.6100      0.0006
168.7000      8.9400      0.0009
168.7000     11.1700      0.0008
168.7000     18.9400      0.0006
168.8000      2.3400      0.0006
168.8000      4.9600      0.0005
168.8000     10.6800      0.0007
168.8000     12.4500      0.0009
168.8000      5.8700      0.0007
168.8000     12.7300      0.0007
168.8000     12.8100      0.0007
168.9000      8.0900      0.0006
168.9000     14.1800      0.0007
168.9000     11.4500      0.0008
168.9000     16.7000      0.0002
169.0000      5.2000      0.0008
169.1000      2.9800      0.0005
169.1000      7.2300      0.0010
169.2000      9.3400      0.0013
169.3000      7.6400      0.0009
169.3000     16.9100      0.0005
169.3000     12.6500      0.0003
169.4000     13.3100      0.0010
169.4000     13.7800      0.0009
169.5000     10.6500      0.0009
169.5000     13.0400      0.0006
169.5000     11.5900      0.0006
169.5000      5.0300      0.0005
169.5000     19.3500      0.0002
169.5000      4.4800      0.0005
169.5000      5.9800      0.0006
169.6000     16.0800      0.0009
169.6000     12.0000      0.0003
169.6000     11.8500      0.0014
169.6000     18.2600      0.0001
169.7000     12.6900      0.0003
169.7000     13.7200      0.0003
169.7000     10.7400      0.0007
169.7000      2.9800      0.0005
169.7000     14.8300      0.0006
169.8000     10.0200      0.0011
169.8000     12.6100      0.0008
169.8000     13.5900      0.0006
169.8000     11.7500      0.0006
169.9000     12.9800      0.0003
169.9000      8.5200      0.0005
169.9000      7.6900      0.0007
169.9000      9.8500      0.0013
170.0000     10.1200      0.0013
170.1000     13.0500      0.0013
170.1000     16.8300      0.0003
170.1000     12.5700      0.0008
170.1000     13.2900      0.0006
170.1000      8.8800      0.0011
170.1000     19.5200      0.0003
170.1000     16.2800      0.0006
170.1000     10.1800      0.0014
170.3000      7.2500      0.0006
170.3000     15.0000      0.0006
170.3000      8.8200      0.0008
170.4000     13.1900      0.0008
170.4000     18.5500      0.0005
170.5000     10.4500      0.0009
170.6000     18.5200      0.0003
170.6000     10.5500      0.0003
170.6000      6.4700      0.0006
170.6000     14.6600      0.0006
170.6000     11.4800      0.0010
170.7000      8.4800      0.0014
170.7000     13.1700      0.0008
170.7000     17.0900      0.0006
170.7000     13.4700      0.0007
170.9000      1.7200      0.0002
170.9000      9.8800      0.0005
171.0000      8.2200      0.0007
171.0000     11.6100      0.0010
171.1000     14.0500      0.0006
171.1000     11.2900      0.0007
171.2000     17.2900      0.0003
171.2000      6.0300      0.0005
171.2000      9.4400      0.0009
171.2000     11.5800      0.0002
171.3000     10.4700      0.0013
171.3000      8.9900      0.0010
171.3000      8.9300      0.0007
171.3000     10.6000      0.0014
171.4000     10.7200      0.0008
171.4000     13.2900      0.0006
171.4000     21.8300      0.0001
171.4000      8.4600      0.0009
171.5000     14.2000      0.0010
171.5000     10.2000      0.0010
171.5000      9.5700      0.0008
171.6000     14.3200      0.0005
171.6000      5.8400      0.0007
171.6000      6.1600      0.0005
171.6000     13.1800      0.0008
171.6000      9.0000      0.0008
171.7000      3.7600      0.0007
171.7000     14.9700      0.0002
171.7000     10.8100      0.0010
171.8000      9.6100      0.0008
171.8000      4.4200      0.0005
171.8000      9.5800      0.0007
171.8000      7.6700      0.0003
171.8000      2.3900      0.0008
171.9000     13.3300      0.0002
171.9000      4.9600      0.0005
171.9000     11.4300      0.0009
171.9000     11.9900      0.0005
172.0000     18.6600      0.0001
172.0000     10.1000      0.0010
172.0000      5.4200      0.0008
172.0000     13.7200      0.0003
172.0000     12.4200      0.0007
172.0000      7.1400      0.0014
172.0000      6.6300      0.0002
172.0000     11.4200      0.0009
172.1000     12.0700      0.0006
172.1000     12.1900      0.0013
172.1000     14.7300      0.0001
172.2000     11.7600      0.0006
172.2000      4.2800      0.0008
172.2000     15.3800      0.0007
172.2000      9.3500      0.0008
172.3000      4.5900      0.0009
172.3000      7.3300      0.0005
172.4000     16.9300      0.0003
172.5000     10.6000      0.0014
172.5000      8.2700      0.0011
172.5000     17.1700      0.0006
172.6000     13.9900      0.0002
172.6000      4.3200      0.0005
172.7000     12.8600      0.0010
172.7000     12.8000      0.0006
172.7000     12.0300      0.0009
