angle,w.speed,Freq
164.9,20.3,0.000114155
171,20.27,0.000114155
208.3,12.9,0.000114155
206.8,15.42,0.000114155
223.3,13.1,0.000114155
261.1,12.38,0.000114155
266.3,12.87,0.000114155
265.8,11.5,0.000114155
263.2,9.57,0.000114155
258.6,7.82,0.000114155
252.1,6.68,0.000114155
240.6,6.22,0.000114155
228.6,6.03,0.000114155
222.2,5.44,0.000114155
210,4.96,0.000114155
191.6,5.87,0.000114155
175.4,5.71,0.000114155
165,6.04,0.000114155
156.3,6.32,0.000114155
148.9,7.41,0.000114155
137.7,8.89,0.000114155
136.1,8.79,0.000114155
135.3,8.55,0.000114155
137.9,9.21,0.000114155
135.5,9.95,0.000114155
138.1,11.51,0.000114155
142.6,13.96,0.000114155
133.1,13.78,0.000114155
135.9,14.9,0.000114155
143.7,16.39,0.000114155
143.7,17.5,0.000114155
143.8,18.28,0.000114155
142.7,18.57,0.000114155
141.1,19.51,0.000114155
140.3,19.69,0.000114155
138.5,19.68,0.000114155
135.6,20.28,0.000114155
133.3,21.85,0.000114155
131.5,21.8,0.000114155
131.7,20.85,0.000114155
132.2,21.68,0.000114155
133.1,20.93,0.000114155
132.3,19.95,0.000114155
130.9,19.42,0.000114155
130.3,19.25,0.000114155
131.6,19.06,0.000114155
132.8,18.67,0.000114155
132.4,18.19,0.000114155
132.8,18.56,0.000114155
130.3,19.08,0.000114155
129.6,19.62,0.000114155
130.7,19.31,0.000114155
129.3,19.54,0.000114155
128.1,19.78,0.000114155
127,20.06,0.000114155
125.4,20.26,0.000114155
124.9,20.04,0.000114155
125.2,20.55,0.000114155
124.3,20.12,0.000114155
125.4,19.07,0.000114155
127.3,18.54,0.000114155
126.1,18.51,0.000114155
124.2,18.18,0.000114155
119.1,19.66,0.000114155
119.1,19.17,0.000114155
119.7,18.34,0.000114155
121.7,17.68,0.000114155
123.5,17.47,0.000114155
124.2,17.9,0.000114155
116.8,16.23,0.000114155
119.4,16.09,0.000114155
120.1,15.15,0.000114155
118.9,14.42,0.000114155
120.1,13.47,0.000114155
120.5,12.38,0.000114155
111.1,14.83,0.000114155
116.9,13.87,0.000114155
119.6,12.91,0.000114155
123.8,12.11,0.000114155
127.6,12.1,0.000114155
127.4,11.52,0.000114155
116.4,12.61,0.000114155
120.8,11.92,0.000114155
124.2,11.76,0.000114155
123.8,10.94,0.000114155
126.2,9.29,0.000114155
125.9,7.98,0.000114155
113.8,9.54,0.000114155
107.7,10.37,0.000114155
116,9.85,0.000114155
118.3,9.97,0.000114155
120.2,10.83,0.000114155
121.2,10.89,0.000114155
115.5,10.53,0.000114155
