w.speed,angle,Freq
0.0,0.0,0.000228310502284
0.0,3.0,0.000228310251142
0.0,6.0,0.000114155
0.0,9.0,0.00022831
0.0,12.0,0.000342465753426
0.0,18.0,0.000114155
0.0,21.0,0.00022831
0.0,27.0,0.000342465753426
0.0,30.0,0.000228310502284
0.0,33.0,0.000456621004568
0.0,39.0,0.000342465251142
0.0,42.0,0.00022831
0.0,45.0,0.000342465502284
0.0,48.0,0.000342465251142
0.0,57.0,0.000114155
0.0,60.0,0.000342465251142
0.0,63.0,0.000456620502284
0.0,66.0,0.000114155251142
0.0,69.0,0.000114155251142
0.0,72.0,0.000342465502284
0.0,75.0,0.000342465251142
0.0,78.0,0.000570776004568
0.0,87.0,0.000114155251142
0.0,90.0,0.000228310251142
0.0,93.0,0.000228310502284
0.0,96.0,0.000342465502284
0.0,99.0,0.000456620502284
0.0,102.0,0.000342465502284
0.0,105.0,0.000114155251142
0.0,111.0,0.000114155251142
0.0,114.0,0.000114155251142
0.0,117.0,0.000342465502284
0.0,120.0,0.000114155251142
0.0,123.0,0.000342465502284
0.0,126.0,0.000456620753426
0.0,129.0,0.000114155251142
0.0,132.0,0.000228310251142
0.0,141.0,0.000228310502284
0.0,144.0,0.000114155251142
0.0,153.0,0.000342465251142
0.0,156.0,0.00022831
0.0,159.0,0.000228310251142
0.0,162.0,0.000114155251142
0.0,165.0,0.000342465502284
0.0,168.0,0.000228310251142
0.0,171.0,0.00045662025114199997
0.0,177.0,0.000114155
0.0,183.0,0.000114155251142
0.0,186.0,0.0005707752511419999
0.0,189.0,0.000114155251142
0.0,195.0,0.000342465753426
0.0,198.0,0.000456620502284
0.0,201.0,0.000228310251142
0.0,204.0,0.000114155251142
0.0,207.0,0.000114155251142
0.0,210.0,0.000114155251142
0.0,213.0,0.000114155251142
0.0,216.0,0.0005707752511419999
0.0,219.0,0.000114155
0.0,222.0,0.000228310251142
0.0,225.0,0.000114155
0.0,228.0,0.000228310251142
0.0,231.0,0.000114155
0.0,234.0,0.000456620753426
0.0,237.0,0.000114155
0.0,240.0,0.000456620502284
0.0,243.0,0.000114155
0.0,252.0,0.000228310251142
0.0,255.0,0.000342465753426
0.0,258.0,0.00045662
0.0,261.0,0.000114155
0.0,264.0,0.000114155251142
0.0,267.0,0.000114155
0.0,270.0,0.000114155
0.0,273.0,0.000228310502284
0.0,276.0,0.000114155
0.0,279.0,0.000114155251142
0.0,282.0,0.000570775753426
0.0,285.0,0.000228310251142
0.0,288.0,0.000114155
0.0,291.0,0.000456621004568
0.0,297.0,0.000114155
0.0,300.0,0.000114155
0.0,303.0,0.000114155
0.0,309.0,0.000342465251142
0.0,312.0,0.000342465251142
0.0,315.0,0.000228310251142
0.0,318.0,0.00045662025114199997
0.0,321.0,0.000114155251142
0.0,324.0,0.000114155251142
0.0,327.0,0.000684930502284
0.0,333.0,0.000342465502284
0.0,339.0,0.000114155
0.0,348.0,0.000342465502284
0.0,354.0,0.000228310251142
0.0,357.0,0.000114155
1.0,0.0,0.001940637260278
1.0,3.0,0.001369862009136
1.0,6.0,0.001027395753426
1.0,9.0,0.000570776004568
1.0,12.0,0.001484016757994
1.0,15.0,0.00159817251142
1.0,18.0,0.000799086757994
1.0,21.0,0.001255707260278
1.0,24.0,0.002054792260278
1.0,27.0,0.00251141376713
1.0,30.0,0.001712326506852
1.0,33.0,0.001598172009136
1.0,36.0,0.001141551757994
1.0,39.0,0.001141551757994
1.0,42.0,0.00148401751142
1.0,45.0,0.001027395753426
1.0,48.0,0.000684931004568
1.0,51.0,0.000342465753426
1.0,54.0,0.001484017260278
1.0,57.0,0.001369862260278
1.0,60.0,0.0015981715068519998
1.0,63.0,0.00125570625571
1.0,66.0,0.0018264812557099999
1.0,69.0,0.001940638264846
1.0,72.0,0.00136986125571
1.0,75.0,0.001940636757994
1.0,78.0,0.001141551506852
1.0,81.0,0.00148401625571
1.0,84.0,0.00125570625571
1.0,87.0,0.001940637009136
1.0,90.0,0.00125570625571
1.0,93.0,0.00091324125571
1.0,96.0,0.00171232751142
1.0,99.0,0.00148401625571
1.0,102.0,0.001255705502284
1.0,105.0,0.001027395502284
1.0,108.0,0.001141551506852
1.0,111.0,0.001369862762562
1.0,114.0,0.000799086004568
1.0,117.0,0.001598171757994
1.0,120.0,0.001255706506852
1.0,123.0,0.001484016506852
1.0,126.0,0.001141551506852
1.0,129.0,0.001141552009136
1.0,132.0,0.001598172762562
1.0,135.0,0.001255706757994
1.0,138.0,0.001369861506852
1.0,141.0,0.000913241004568
1.0,144.0,0.00114155125571
1.0,147.0,0.001141552009136
1.0,150.0,0.000913241506852
1.0,153.0,0.000913241506852
1.0,156.0,0.00136986125571
1.0,159.0,0.00148401625571
1.0,162.0,0.001255706004568
1.0,165.0,0.00114155125571
1.0,168.0,0.001141551757994
1.0,171.0,0.001598171757994
1.0,174.0,0.001712327009136
1.0,177.0,0.001141551757994
1.0,180.0,0.001141551757994
1.0,183.0,0.001940637009136
1.0,186.0,0.00114155125571
1.0,189.0,0.001598172260278
1.0,192.0,0.001255705753426
1.0,195.0,0.00148401625571
1.0,198.0,0.001940637762562
1.0,201.0,0.001141551757994
1.0,204.0,0.001141551004568
1.0,207.0,0.002054791757994
1.0,210.0,0.001255706506852
1.0,213.0,0.001484016757994
1.0,216.0,0.002511412260278
1.0,219.0,0.002168948013704
1.0,222.0,0.00136986125571
1.0,225.0,0.001255705753426
1.0,228.0,0.0015981715068519998
1.0,231.0,0.001141551004568
1.0,234.0,0.001712327009136
1.0,237.0,0.001940636757994
