angle,w.speed,Freq
170,18.51,0.000114155
182.7,14.62,0.000114155
201.9,9.13,0.000114155
197.9,13.71,0.000114155
207.9,13.75,0.000114155
227.5,12.52,0.000114155
246.4,12.24,0.000114155
236.7,10.16,0.000114155
220.2,9.43,0.000114155
215.6,10.49,0.000114155
219.3,10.95,0.000114155
222.8,10.72,0.000114155
227,10.05,0.000114155
226.3,9.66,0.000114155
224.8,9.28,0.000114155
211.8,8.1,0.000114155
211.8,8.85,0.000114155
213,9.55,0.000114155
211.3,10.67,0.000114155
213.1,11.69,0.000114155
210.8,10.4,0.000114155
210.9,9.28,0.000114155
207.2,9.29,0.000114155
206.8,9.69,0.000114155
208.7,9.92,0.000114155
216.6,10.12,0.000114155
211.9,10.17,0.000114155
217,9.28,0.000114155
215.5,9.65,0.000114155
218.4,10.67,0.000114155
225.8,11.18,0.000114155
235.3,11.6,0.000114155
233.4,10.73,0.000114155
237.7,9.9,0.000114155
230.2,10.43,0.000114155
221.2,8.93,0.000114155
244.8,11.45,0.000114155
238.4,12,0.000114155
233.6,12.85,0.000114155
223.2,10.54,0.000114155
224.5,11.24,0.000114155
225.6,11.57,0.000114155
220.4,11.45,0.000114155
218.4,12.16,0.000114155
219.8,13.28,0.000114155
223.7,12.82,0.000114155
221.5,12.58,0.000114155
220.8,12.76,0.000114155
217.9,12.63,0.000114155
225.8,15.46,0.000114155
223,14.35,0.000114155
227,14.32,0.000114155
225,13.86,0.000114155
218.1,13.32,0.000114155
210.3,11.47,0.000114155
196.9,14.19,0.000114155
181.2,16.05,0.000114155
164.5,16.6,0.000114155
156.3,19.05,0.000114155
143,20.85,0.000114155
124.4,22.97,0.000114155
123.5,23.48,0.000114155
145.2,19.38,0.000114155
160.6,16.75,0.000114155
140.9,18.44,0.000114155
128.4,17.46,0.000114155
138,12.34,0.000114155
108.1,10.57,0.000114155
63.7,10.56,0.000114155
359.2,13.93,0.000114155
332.8,18.26,0.000114155
324.8,18.26,0.000114155
324.2,20.19,0.000114155
323,25.24,0.000114155
322.9,22.54,0.000114155
317.9,22.18,0.000114155
313.6,21.99,0.000114155
310.2,21.13,0.000114155
306.9,19.27,0.000114155
303.6,18.85,0.000114155
