angle,w.speed,Freq
213.1,14.39,0.000114155
210.7,14.58,0.000114155
209.6,14.68,0.000114155
201.5,15.84,0.000114155
208.1,17.56,0.000114155
220.1,16.56,0.000114155
227.7,16.2,0.000114155
235.3,15.15,0.000114155
239.7,15.38,0.000114155
234.2,16.48,0.000114155
236.2,14.24,0.000114155
227.3,13.38,0.000114155
218.4,14.5,0.000114155
214.5,13.13,0.000114155
212.1,12.9,0.000114155
195.6,14.12,0.000114155
192,15.79,0.000114155
201.3,18.56,0.000114155
205.5,19.07,0.000114155
215.8,18.93,0.000114155
220.5,20.27,0.000114155
224.1,19.37,0.000114155
222.4,20.11,0.000114155
256.3,16.51,0.000114155
276.4,14.16,0.000114155
286,13.73,0.000114155
289.5,13.73,0.000114155
295.4,15.13,0.000114155
295.7,14.6,0.000114155
288,12.52,0.000114155
290.2,16.83,0.000114155
278.4,20.13,0.000114155
287.6,18.51,0.000114155
279.8,19.72,0.000114155
280.8,20.7,0.000114155
276.8,19.53,0.000114155
280.1,17.78,0.000114155
274.3,17.47,0.000114155
283.8,17.96,0.000114155
286.1,22.13,0.000114155
283.2,22.53,0.000114155
274,23.66,0.000114155
265,18.5,0.000114155
281.1,21.92,0.000114155
282.5,23.71,0.000114155
285.8,23.02,0.000114155
271.8,23.5,0.000114155
273.8,23.67,0.000114155
271.5,24,0.000114155
271.6,24.29,0.000114155
271.6,24.14,0.000114155
285.4,22.21,0.000114155
289.7,19.36,0.000114155
314.9,18.74,0.000114155
312.8,16.42,0.000114155
311.2,13.35,0.000114155
303.4,12.13,0.000114155
313.2,10.99,0.000114155
316.1,10.73,0.000114155
321.6,10.35,0.000114155
326.8,10.52,0.000114155
328.9,11.15,0.000114155
327.4,12.23,0.000114155
328.7,12.01,0.000114155
327.9,12.47,0.000114155
327,12.91,0.000114155
329.3,13.11,0.000114155
331.8,13.18,0.000114155
329.5,12.96,0.000114155
326,12.68,0.000114155
324.8,12.78,0.000114155
321.4,13.09,0.000114155
318.3,13.49,0.000114155
314.9,13.02,0.000114155
298.8,11.58,0.000114155
311.9,11.38,0.000114155
308.5,11.46,0.000114155
304.3,11.59,0.000114155
304,11.12,0.000114155
303.1,11.46,0.000114155
301.1,12.08,0.000114155
303.5,11.09,0.000114155
299.3,10.41,0.000114155
295.4,9.18,0.000114155
290.7,7.42,0.000114155
279.2,6.55,0.000114155
266.5,6.3,0.000114155
212.5,3.52,0.000114155
164.5,4.9,0.000114155
157.2,6.02,0.000114155
162.7,5.45,0.000114155
176.1,4.19,0.000114155
195.2,2.18,0.000114155
100.1,0.3,0.000114155
194.9,1.4,0.000114155
269.6,4.12,0.000114155
292.7,3.86,0.000114155
