angle,w.speed,Freq
258.2,13.57,0.000114155
255.7,13.02,0.000114155
255,12.61,0.000114155
249.7,12.63,0.000114155
249.3,12.3,0.000114155
249.1,11.37,0.000114155
241.8,10.28,0.000114155
237.5,10.81,0.000114155
244.9,8.58,0.000114155
243,10.11,0.000114155
247.7,9.92,0.000114155
252.3,9.59,0.000114155
251.7,8.64,0.000114155
255.2,7.27,0.000114155
267.4,6.29,0.000114155
265.1,3.71,0.000114155
283,3.94,0.000114155
305.1,4.77,0.000114155
312.3,6.28,0.000114155
319.4,6.69,0.000114155
314.1,7.01,0.000114155
313.8,6.2,0.000114155
304.3,6.23,0.000114155
294,8.09,0.000114155
309.6,8.37,0.000114155
312.6,9.06,0.000114155
319.2,9.58,0.000114155
316.6,9.2,0.000114155
319.3,8.85,0.000114155
319,8.14,0.000114155
311.9,7.86,0.000114155
309.1,8.12,0.000114155
305.8,7.71,0.000114155
296.6,6.87,0.000114155
285.1,7.57,0.000114155
274.2,7.8,0.000114155
261.1,7.18,0.000114155
243,6.98,0.000114155
226,7.47,0.000114155
225.2,6.11,0.000114155
207.3,6.76,0.000114155
199.8,9.06,0.000114155
185.8,11.54,0.000114155
175.1,13.91,0.000114155
166.4,15.79,0.000114155
174,16.41,0.000114155
200.7,13.19,0.000114155
269.5,18.64,0.000114155
271.5,19.59,0.000114155
269,19.07,0.000114155
267.1,18.77,0.000114155
265.9,14.38,0.000114155
270.9,14.66,0.000114155
273.3,14.4,0.000114155
272,15,0.000114155
274.2,15.54,0.000114155
279.4,15.36,0.000114155
278.5,16.31,0.000114155
285,16.91,0.000114155
288.6,17.66,0.000114155
292,17.63,0.000114155
291.1,17.17,0.000114155
290.4,16.69,0.000114155
288.2,15.2,0.000114155
285,15.01,0.000114155
280.9,13.68,0.000114155
279.8,13.86,0.000114155
279.9,13.68,0.000114155
275.8,13.67,0.000114155
268.7,12.33,0.000114155
263.2,11.5,0.000114155
257.1,10.94,0.000114155
257.8,10.9,0.000114155
240.3,9.75,0.000114155
216.6,8.7,0.000114155
206.3,12.64,0.000114155
264.7,15.36,0.000114155
277.4,18.5,0.000114155
281,17.11,0.000114155
282.8,15.24,0.000114155
284.5,14.04,0.000114155
287,14,0.000114155
291.4,13.35,0.000114155
295.3,12.26,0.000114155
287.1,12.5,0.000114155
292.2,12.85,0.000114155
298.7,12.41,0.000114155
296.7,13.5,0.000114155
301,13.69,0.000114155
306,14.33,0.000114155
314.6,14.74,0.000114155
321.1,13.55,0.000114155
324.7,11.71,0.000114155
324,10.33,0.000114155
301.3,9.29,0.000114155
290.8,11.34,0.000114155
293.3,12.06,0.000114155
294.8,11.75,0.000114155
294,11.26,0.000114155
293.2,10.51,0.000114155
294.1,9.54,0.000114155
303.2,7.71,0.000114155
288.2,4.96,0.000114155
271.4,5.55,0.000114155
275.4,5.73,0.000114155
270,5.42,0.000114155
264.9,5.21,0.000114155
259.1,4.62,0.000114155
245.6,4.77,0.000114155
232.3,6.13,0.000114155
220.2,6.9,0.000114155
211.6,6.94,0.000114155
202.6,7.1,0.000114155
