angle,w.speed,Freq
9.1,13.37,0.000114155251142
13.2,13.3,0.000114155251142
14.8,13.04,0.000114155251142
10,12.81,0.000114155251142
10.8,12.97,0.000114155251142
11.4,13.06,0.000114155251142
12.7,13.6,0.000114155251142
14.7,13.45,0.000114155251142
14.8,12.67,0.000114155251142
11.8,11.12,0.000114155251142
11,10.71,0.000114155251142
9.5,10.32,0.000114155251142
9.9,9.93,0.000114155251142
13.4,9.05,0.000114155251142
15.8,8.41,0.000114155251142
7.6,7.34,0.000114155251142
9.7,7.25,0.000114155251142
5.9,7.27,0.000114155251142
14.6,7.25,0.000114155251142
35.6,5.56,0.000114155251142
57.4,3.78,0.000114155251142
40.2,1.98,0.000114155251142
50.9,1.67,0.000114155251142
58.1,1.47,0.000114155251142
81.6,2.23,0.000114155251142
123.3,3.85,0.000114155251142
146.6,3.69,0.000114155251142
133.5,2.82,0.000114155251142
130.6,3.08,0.000114155251142
131.4,3.1,0.000114155251142
133.2,3.09,0.000114155251142
141,2.82,0.000114155251142
137.4,2.52,0.000114155251142
158,1.73,0.000114155251142
162.9,1.43,0.000114155251142
168.5,1.55,0.000114155251142
170.9,1.6,0.000114155251142
145.4,8.49,0.000114155251142
151.7,9.23,0.000114155251142
172,6.92,0.000114155251142
173.5,9.31,0.000114155251142
171.7,11.59,0.000114155251142
161.4,10.38,0.000114155251142
164.3,9.82,0.000114155251142
164.5,8.67,0.000114155251142
158.1,7.42,0.000114155251142
142.1,8,0.000114155251142
139.4,7.71,0.000114155251142
136,7.34,0.000114155251142
136.2,5.96,0.000114155251142
119.3,5.33,0.000114155251142
109.9,5.3,0.000114155251142
85.1,5.26,0.000114155251142
82.4,5.14,0.000114155251142
86.8,5.02,0.000114155251142
81.4,4.67,0.000114155251142
74.6,4.44,0.000114155251142
66.4,4.84,0.000114155251142
63,4.78,0.000114155251142
69.1,4.4,0.000114155251142
74.4,3.18,0.000114155251142
78.4,2.39,0.000114155251142
76.8,1.39,0.000114155251142
73.3,3.25,0.000114155251142
59.2,2.99,0.000114155251142
47.3,2.84,0.000114155251142
36.4,2.65,0.000114155251142
24,3,0.000114155251142
16.5,3.74,0.000114155251142
13.4,4.17,0.000114155251142
15.9,4.67,0.000114155251142
23.5,4.6,0.000114155251142
25.3,3.94,0.000114155251142
14.1,3.56,0.000114155251142
1.2,4.13,0.000114155251142
18.9,4.19,0.000114155251142
16,4.65,0.000114155251142
14.5,4.74,0.000114155251142
14.5,4.71,0.000114155251142
17.8,4.89,0.000114155251142
23.6,5.07,0.000114155251142
25.1,6.47,0.000114155251142
49.9,5.33,0.000114155251142
76.6,3.78,0.000114155251142
113.7,3.28,0.000114155251142
129.4,3.43,0.000114155251142
138.4,3.86,0.000114155251142
137.4,6.46,0.000114155251142
139.8,6.37,0.000114155251142
141.6,5.74,0.000114155251142
138.9,4.55,0.000114155251142
126,2.83,0.000114155251142
96.4,1.97,0.000114155251142
97.1,1.46,0.000114155251142
89,1.32,0.000114155251142
90.9,1.01,0.000114155251142
74.5,0.46,0.000114155251142
5.2,0.73,0.000114155251142
356,1.24,0.000114155251142
34.6,2.64,0.000114155251142
78.7,4.07,0.000114155251142
78,3.05,0.000114155251142
68.8,2.33,0.000114155251142
50.7,1.87,0.000114155251142
36.8,1.78,0.000114155251142
10.3,1.86,0.000114155251142
25.2,1.8,0.000114155251142
42.8,1.41,0.000114155251142
55.3,1.16,0.000114155251142
42,0.96,0.000114155251142
45.2,0.88,0.000114155251142
58.9,1.34,0.000114155251142
51.2,1.16,0.000114155251142
49.1,1.04,0.000114155251142
59.8,0.74,0.000114155251142
35.3,0.41,0.000114155251142
326,0.76,0.000114155251142
333.2,1.42,0.000114155251142
331.6,0.74,0.000114155251142
284.4,0.35,0.000114155251142
255.2,0.46,0.000114155251142
221.3,0.59,0.000114155251142
214.7,0.92,0.000114155251142
106.3,1.82,0.000114155251142
130.6,1.55,0.000114155251142
131.2,1.44,0.000114155251142
150.6,1.93,0.000114155251142
151.3,2.72,0.000114155251142
154.3,3.62,0.000114155251142
152.9,3.08,0.000114155251142
159.1,3.48,0.000114155251142
164,3.5,0.000114155251142
167.5,3.96,0.000114155251142
173.3,4.6,0.000114155251142
176.3,4.93,0.000114155251142
164.7,5.15,0.000114155251142
168.5,5.13,0.000114155251142
173.5,5.08,0.000114155251142
176.9,5.15,0.000114155251142
174.9,5.4,0.000114155251142
171.4,5.85,0.000114155251142
177.9,5.4,0.000114155251142
179.1,5.2,0.000114155251142
183,5.27,0.000114155251142
184.6,5.53,0.000114155251142
178.9,6.05,0.000114155251142
178.4,6.07,0.000114155251142
180.6,7.05,0.000114155251142
181.3,7.05,0.000114155251142
181.6,7.18,0.000114155251142
182,7.31,0.000114155251142
183.4,7.22,0.000114155251142
183.1,7.56,0.000114155251142
187.2,9.21,0.000114155251142
188.3,9.44,0.000114155251142
187.2,9.14,0.000114155251142
182.7,9.33,0.000114155251142
180.7,9.66,0.000114155251142
178,10.06,0.000114155251142
169.1,8.97,0.000114155251142
164.4,9.49,0.000114155251142
165,9.9,0.000114155251142
163.9,10.91,0.000114155251142
166,11.31,0.000114155251142
164.2,11.48,0.000114155251142
162.1,11.88,0.000114155251142
162.4,12.37,0.000114155251142
167.5,12.05,0.000114155251142
169.1,11.74,0.000114155251142
167.9,12.06,0.000114155251142
171,11.62,0.000114155251142
150.7,11.43,0.000114155251142
152.7,11,0.000114155251142
155.5,10.85,0.000114155251142
156.9,10.38,0.000114155251142
154,9.52,0.000114155251142
153.2,8.77,0.000114155251142
157,10.04,0.000114155251142
151.5,9.62,0.000114155251142
145.2,8.76,0.000114155251142
148.3,8.11,0.000114155251142
153.6,7.65,0.000114155251142
159.5,7.36,0.000114155251142
189.1,4.34,0.000114155251142
180.8,3.99,0.000114155251142
176.5,4.25,0.000114155251142
179.8,5.16,0.000114155251142
186.9,5.39,0.000114155251142
193.1,5.46,0.000114155251142
190.4,5.79,0.000114155251142
194.1,6.34,0.000114155251142
194.5,6.86,0.000114155251142
190.2,7.42,0.000114155251142
192.4,8.13,0.000114155251142
195.3,8.58,0.000114155251142
217,7.88,0.000114155251142
212.9,8.4,0.000114155251142
212.4,9,0.000114155251142
218.5,9.75,0.000114155251142
210.8,10.36,0.000114155251142
199.9,12.11,0.000114155251142
197.4,14.09,0.000114155251142
196.7,15.03,0.000114155251142
195.7,15.65,0.000114155251142
194.4,16.28,0.000114155251142
195.8,16.84,0.000114155251142
